stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
393,ARART0,"Art-sur-Meurthe",,48.658634,6.269274,,,0,
1393,ARART1,"Art-sur-Meurthe",,48.658634,6.269274,,,0,
390,ARBOS0,"Bosserville",,48.663563,6.241849,,,0,
1390,ARBOS1,"Bosserville",,48.661572,6.241333,,,0,
2813,ARBOS2,"Art-sur-Meurthe - Bosserville",,48.662231,6.244820,,,0,
663,ARCHA0,"Chartreuse",,48.661842,6.247861,,,0,
1663,ARCHA1,"Chartreuse",,48.661915,6.247840,,,0,
395,ARHUI0,"18 juin",,48.655918,6.264790,,,0,
394,ARMAI0,"Art-sur-Meurthe - Mairie",,48.655788,6.264997,,,0,
389,ARNPL0,"Napoléon",,48.666561,6.235433,,,0,
1389,ARNPL1,"Napoléon",,48.668316,6.233047,,,0,
392,ARRLN0,"Art-sur-Meurthe - Château",,48.658787,6.260877,,,0,
1392,ARRLN1,"Art-sur-Meurthe - Château",,48.658600,6.260224,,,0,
391,ARTIR0,"Repentir",,48.661663,6.254966,,,0,
1391,ARTIR1,"Repentir",,48.661400,6.255028,,,0,
488,DMDOM0,"Dommartemont",,48.711235,6.209652,,,0,
1488,DMDOM1,"Dommartemont",,48.711155,6.209661,,,0,
482,ESALT0,"Alouettes",,48.710125,6.219197,,,0,
1482,ESALT1,"Alouettes",,48.709866,6.219341,,,0,
502,ESBCH0,"Bois Châtel",,48.712673,6.221808,,,0,
1502,ESBCH1,"Bois Châtel",,48.712734,6.222466,,,0,
1505,ESBOP0,"Beaupré",,48.717255,6.221810,,,0,
637,ESBRA0,"Brassens",,48.711735,6.245169,,,0,
1637,ESBRA1,"Brassens",,48.711983,6.246439,,,0,
26,ESBRI0,"Clinique Pasteur",,48.703278,6.217435,,,0,
1026,ESBRI1,"Clinique Pasteur",,48.703060,6.216426,,,0,
783,ESBUR0,"La Bure",,48.715672,6.222369,,,0,
707,ESCES0,"Essey Emile Gallé",,48.700626,6.222242,,,0,
1707,ESCES1,"Emile Gallée",,48.700589,6.222407,,,0,
503,ESCHL0,"Chanoine Laurent",,48.706955,6.219232,,,0,
1503,ESCHL1,"Chanoine Laurent",,48.707260,6.219282,,,0,
471,ESCLM0,"Joseph Huet",,48.701443,6.206095,,,0,
1471,ESCLM1,"Joseph Huet",,48.701836,6.205961,,,0,
415,ESCLN0,"Colonies",,48.707420,6.234632,,,0,
1415,ESCLN1,"Colonies",,48.707813,6.236076,,,0,
430,ESCSR0,"Quartier Kléber",,48.703671,6.230204,,,0,
504,ESFAL1,"Essey La Fallée",,48.709530,6.220254,,,0,
1504,ESFAL2,"Essey La Fallée",,48.709919,6.220229,,,0,
414,ESFYR0,"Edith Piaf",,48.708969,6.238461,,,0,
1414,ESFYR1,"Edith Piaf",,48.709133,6.239466,,,0,
799,ESGRI0,"Grives",,48.710579,6.220881,,,0,
416,ESKLB0,"69ème RI",,48.705490,6.230207,,,0,
1416,ESKLB1,"69ème RI",,48.705673,6.230885,,,0,
739,ESKLE0,"Quartier Kléber",,48.703568,6.230088,,,0,
28,ESMZM0,"Essey Mouzimpré",,48.701271,6.224872,,,0,
1028,ESMZM3,"Essey Mouzimpré",,48.701805,6.224721,,,0,
1670,ESMZM6,"Mouzimpré",,48.701675,6.224973,,,0,
1461,ESMZM7,"Mouzimpré",,48.701672,6.225800,,,0,
755,ESONC0,"Tronc qui fume",,48.708729,6.243812,,,0,
1755,ESONC1,"Tronc qui fume",,48.710373,6.243706,,,0,
501,ESOPP0,"Oppidum",,48.713676,6.221394,,,0,
1501,ESOPP1,"Oppidum",,48.713852,6.221882,,,0,
628,ESPCT2,"Essey Mairie",,48.705463,6.222996,,,0,
27,ESROO0,"Essey Roosevelt",,48.704323,6.221211,,,0,
612,ESROO1,"Essey Roosevelt",,48.703991,6.221184,,,0,
1027,ESROO2,"Essey Roosevelt",,48.703743,6.220869,,,0,
429,ESSBL0,"Essey Porte Verte",,48.706951,6.244985,,,0,
1429,ESSBL1,"Essey Porte Verte",,48.705078,6.245647,,,0,
1960,ESSBL2,"Porte Verte",,48.706359,6.246000,,,0,
500,ESSOL0,"Plein Soleil",,48.715378,6.221167,,,0,
483,ESTAM0,"Essey Tamaris",,48.710854,6.218368,,,0,
1483,ESTAM1,"Essey Tamaris",,48.710480,6.218449,,,0,
261,FLAUT0,"Champs Moyen",,48.617503,6.203389,,,0,
1261,FLAUT1,"Champs Moyen",,48.617535,6.203429,,,0,
675,FLCAD0,"Ader",,48.612526,6.186459,,,0,
1937,FLCAD1,"Ader",,48.612690,6.184864,,,0,
176,FLCHT0,"Château",,48.625671,6.202622,,,0,
1176,FLCHT1,"Château",,48.625610,6.203405,,,0,
178,FLCSL0,"Croix du Soldat",,48.628262,6.207376,,,0,
1178,FLCSL1,"Croix du Soldat",,48.629089,6.208239,,,0,
674,FLDSC0,"Descartes",,48.613178,6.182191,,,0,
1938,FLDSC1,"Descartes",,48.613229,6.182207,,,0,
463,FLDUC0,"Ducret",,48.623505,6.202245,,,0,
262,FLEFF0,"Eiffel",,48.612370,6.197346,,,0,
1262,FLEFF1,"Eiffel",,48.612400,6.197552,,,0,
175,FLFLR0,"Fleurychamp",,48.623325,6.198959,,,0,
3806,FLHFL0,"Haut de Fléville",,48.624378,6.191177,,,0,
177,FLMAI0,"Fléville Mairie",,48.625729,6.204500,,,0,
1177,FLMAI1,"Fléville Mairie",,48.625927,6.206158,,,0,
260,FLNOU0,"FLEVILLE",,48.620544,6.201753,,,0,
1260,FLNOU1,"FLEVILLE",,48.621258,6.202213,,,0,
179,FLOBO0,"L'Orée du Bois",,48.644123,6.210295,,,0,
1179,FLOBO1,"L'Orée du Bois",,48.643890,6.209136,,,0,
673,FLPST0,"Pasteur",,48.614964,6.181237,,,0,
1959,FLPST1,"Pasteur",,48.615094,6.181428,,,0,
265,FLZIN0,"Fresnel",,48.614902,6.191738,,,0,
326,HDCCO0,"Houdemont Porte Sud",,48.638142,6.184728,,,0,
1326,HDCCO1,"Houdemont Porte Sud",,48.638142,6.184728,,,0,
164,HDERB0,"Erables",,48.642376,6.182207,,,0,
1164,HDERB1,"Erables",,48.642738,6.182048,,,0,
666,HDGAR0,"Houdemont Gare",,48.644962,6.181986,,,0,
1666,HDGAR1,"Houdemont Gare",,48.645088,6.181778,,,0,
94,HDLAV0,"Houdemont Mairie",,48.645271,6.175272,,,0,
1094,HDLAV1,"Houdemont Mairie",,48.645271,6.175286,,,0,
89,HDMAJ0,"Poncel",,48.636681,6.178985,,,0,
1089,HDMAJ1,"Poncel",,48.636696,6.178890,,,0,
93,HDMAN0,"Montauban",,48.644287,6.176517,,,0,
1093,HDMAN1,"Montauban",,48.644287,6.176436,,,0,
92,HDMNC0,"Mancés",,48.642212,6.177179,,,0,
1092,HDMNC1,"Mancés",,48.641956,6.177024,,,0,
88,HDMON0,"Les Egrez",,48.638561,6.180454,,,0,
1088,HDMON1,"Les Egrez",,48.638821,6.180758,,,0,
791,HDMON2,"Houdemont Les Egrez",,48.638542,6.180406,,,0,
657,HDMUR0,"Les Mûriers",,48.650139,6.183645,,,0,
1657,HDMUR1,"Les Mûriers",,48.650082,6.183437,,,0,
